,tau (bps),ProbLTTrade,PSmallTrade,X,Y,Vbh,Vlp,IL,Phi,ArbTrades,LargeTrades,SmallTrades
0,1.0,1,1,42.38318782088573,1721247.39,3948769.15,3442322.69,506446.47,466859.56,144543,0,55457
0,5.0,1,1,43.032914381284726,1748333.04,3948769.15,3495792.11,452977.04,449880.21,102398,0,97602
0,10.0,1,1,44.85932481514491,1823448.08,3948769.15,3645073.11,303696.04,403497.84,93269,0,106731
0,15.0,1,1,48.04527446430607,1953928.73,3948769.15,3904927.21,43841.94,324449.61,91545,0,108455
0,30.0,1,1,69.58622064453002,2834223.24,3948769.15,5659945.7,-1711176.55,-179111.03,90748,0,109252
0,1.0,1,0,42.38992254410772,1721520.89,3948769.15,3442869.67,505899.48,466659.89,200000,54335,0
0,5.0,1,0,43.38521141923119,1762646.05,3948769.15,3524411.02,424358.13,441628.21,200000,98125,0
0,10.0,1,0,46.44355247460074,1887843.98,3948769.15,3773800.54,174968.61,367232.69,200000,107982,0
0,15.0,1,0,51.8360456962999,2108093.67,3948769.15,4213025.89,-264256.74,238500.05,200000,109834,0
0,30.0,1,0,92.5357412308776,3768949.5,3948769.15,7526594.61,-3577825.46,-669027.74,200000,110922,0
0,1.0,0,0,42.372629508618324,1720818.6,3948769.15,3441465.15,507304.0,467079.84,142985,0,0
0,5.0,0,0,42.55874340918854,1729068.52,3948769.15,3457272.69,491496.46,462185.91,86334,0,0
0,10.0,0,0,42.6622308903303,1734140.3,3948769.15,3466546.84,482222.31,459304.55,56091,0,0
0,15.0,0,0,42.717744546265024,1737266.13,3948769.15,3471926.95,476842.21,457537.93,40816,0,0
0,30.0,0,0,42.820620784617205,1741585.02,3948769.15,3480423.38,468345.77,454501.26,21708,0,0
